Type (House/Senate),State,Affiliation,Name,District,Platform,Handle,Unique ID,Date added
Senate,Alabama,Democrat,Will Boyd,,Facebook,willboydforalabama,,9/19/2022
Senate,Alabama,Democrat,Will Boyd,,Twitter,willboydforAL,150521075,9/19/2022
Senate,Alabama,Democrat,Will Boyd,,YouTube,,https://www.youtube.com/channel/UCAPvDG5NGmXZrl6nT3Y2SMg,9/19/2022
Senate,Alabama,Democrat,Will Boyd,,Instagram,willboydforAL,,9/19/2022
Senate,Alabama,Republican,Katie Britt,,Twitter,KatieBrittforAL,1400915708259696640,9/19/2022
Senate,Alabama,Republican,Katie Britt,,Facebook,KatieBrittforAL,,9/19/2022
Senate,Alabama,Republican,Katie Britt,,YouTube,,https://www.youtube.com/channel/UChTM3zDwbXAFppNO4oHTCRQ,9/19/2022
Senate,Alabama,Republican,Katie Britt,,Instagram,katiebrittforal,,9/19/2022
House,Alabama,Republican,Robert Aderholt,,Twitter,Robert_Aderholt,76452765,9/19/2022
House,Alabama,Republican,Robert Aderholt,,Facebook,RobertAderholtforCongress,,9/19/2022
House,Alabama,Republican,Robert Aderholt,,Instagram,robert_aderholt,,9/19/2022
House,Alabama,Republican,Robert Aderholt,,YouTube,,https://www.youtube.com/user/RobertAderholt,9/19/2022
House,Alabama,Democrat,Rick Neighbors,,Twitter,VoteNeighbors,1199183201719259136,9/19/2022
House,Alabama,Democrat,Rick Neighbors,,Instagram,rickneighbors4congress,,9/19/2022
House,Alabama,Democrat,Rick Neighbors,,YouTube,,https://www.youtube.com/channel/UCtG7oRhEMH_r__Ny98fL2uQ,9/19/2022
House,Alabama,Libertarian,Johnny C. Cochran,,Twitter,JohnnyCCochran,1524935707424342016,9/19/2022
House,Alabama,Libertarian,Johnny C. Cochran,,Facebook,JohnnyCCochran4AL,,9/19/2022
House,Alabama,Libertarian,Johnny C. Cochran,,YouTube,,https://www.youtube.com/channel/UCmNYZCw_t8FfX3fHt9SlILQ,9/19/2022
House,Alabama,Libertarian,Johnny C. Cochran,,Instagram,johnnyccochran4al,,9/19/2022
Senate,Alaska,Republican,Lisa Murkowski,,Twitter,lisamurkowski,18061669,9/19/2022
Senate,Alaska,Republican,Lisa Murkowski,,Twitter,LisaForSenate,151247615,9/19/2022
Senate,Alaska,Republican,Lisa Murkowski,,Facebook,SenLisaMurkowski,,9/19/2022
Senate,Alaska,Republican,Lisa Murkowski,,Facebook,lisaforalaska,,9/19/2022
Senate,Alaska,Republican,Lisa Murkowski,,YouTube,,https://www.youtube.com/user/senatormurkowski,9/19/2022
Senate,Alaska,Republican,Lisa Murkowski,,YouTube,,https://www.youtube.com/user/Lisa4Senate,9/19/2022
Senate,Alaska,Republican,Lisa Murkowski,,Instagram,senlisamurkowski,,9/19/2022
Senate,Alaska,Republican,Lisa Murkowski,,Instagram,lisa4alaska,,9/19/2022
Senate,Alaska,Democrat,Patricia R.Chesbro,,Twitter,ChooseChesbro,1524549352890404864,9/19/2022
Senate,Alaska,Democrat,Patricia R.Chesbro,,Facebook,ChooseChesbro,,9/19/2022
Senate,Alaska,Democrat,Patricia R.Chesbro,,Instagram,choosechesbro,,9/19/2022
Senate,Alaska,Republican,Kelly Tshibaka,,Twitter,KellyforAlaska,1371619745041063936,9/19/2022
Senate,Alaska,Republican,Kelly Tshibaka,,Facebook,KellyForAlaska,,9/19/2022
Senate,Alaska,Republican,Kelly Tshibaka,,Instagram,kellyforalaska,,9/19/2022
House,Alaska,Democrat,Mary Peltola,,Twitter,MaryPeltola,1514353565510164480,9/19/2022
House,Alaska,Democrat,Mary Peltola,,Facebook,Peltola4Congress,,9/19/2022
House,Alaska,Democrat,Mary Peltola,,Instagram,marypeltola,,9/19/2022
House,Alaska,Democrat,Mary Peltola,,YouTube,,https://www.youtube.com/channel/UCXHT0c_Cqdvp6UAfXDxuGow,9/19/2022
House,Alaska,Republican,Nicholas Begich,,Twitter,NicholasBegich,75413121,9/19/2022
House,Alaska,Republican,Nicholas Begich,,Facebook,NicholasBegich,,9/19/2022
House,Alaska,Republican,Nicholas Begich,,Instagram,nicholasbegich,,9/19/2022
House,Alaska,Republican,Sarah Palin,,Twitter,SarahPalinUSA,65493023,9/19/2022
House,Alaska,Republican,Sarah Palin,,Facebook,sarahpalin,,9/19/2022
House,Alaska,Republican,Sarah Palin,,Instagram,sarahpalin97,,9/19/2022
House,Alaska,Libertarian,Chris Bye,,Facebook,AlaskasNextCongressman,,9/19/2022
Senate,Arizona ,Democrat,Mark Kelly,,Twitter,SenMarkKelly,1324926274888888320,9/19/2022
Senate,Arizona ,Democrat,Mark Kelly,,Twitter,CaptMarkKelly,65707359,9/19/2022
Senate,Arizona ,Democrat,Mark Kelly,,Facebook,SenMarkKelly,,9/19/2022
Senate,Arizona ,Democrat,Mark Kelly,,Facebook,CaptMarkKelly,,9/19/2022
Senate,Arizona ,Democrat,Mark Kelly,,YouTube,,https://www.youtube.com/SenMarkKelly,9/19/2022
Senate,Arizona ,Democrat,Mark Kelly,,YouTube,,https://www.youtube.com/c/CaptMarkKelly,9/19/2022
Senate,Arizona ,Democrat,Mark Kelly,,Instagram,senmarkkelly,,9/19/2022
Senate,Arizona ,Democrat,Mark Kelly,,Instagram,captmarkkelly,,9/19/2022
Senate,Arizona ,Republican,Blake Masters,,Twitter,bgmasters,117338050,9/19/2022
Senate,Arizona ,Republican,Blake Masters,,Facebook,BlakeForSenate,,9/19/2022
Senate,Arizona ,Republican,Blake Masters,,YouTube,,https://www.youtube.com/channel/UC_EoQA_Aorta5AiUa0XS4Ig,9/19/2022
House,Arizona ,Democrat,Kristen Engle,6,Twitter,EngelForArizona,4608082538,9/19/2022
House,Arizona ,Democrat,Kristen Engle,6,Facebook,EngelForArizona,,9/19/2022
House,Arizona ,Democrat,Kristen Engle,6,YouTube,,https://www.youtube.com/channel/UCtE5tEKq99TJXwtVRpjhFbw,9/19/2022
House,Arizona ,Democrat,Kristen Engle,6,Instagram,engelforarizona,,9/19/2022
House,Arizona ,Republican,Juan Ciscomani,6,Twitter,juanciscomani,62874548,9/19/2022
House,Arizona ,Republican,Juan Ciscomani,6,Facebook,juanciscomani,,9/19/2022
House,Arizona ,Republican,David Schweikert,1,Twitter,RepDavid,229197216,9/19/2022
House,Arizona ,Republican,David Schweikert,1,Twitter,DavidSchweikert,21509894,9/19/2022
House,Arizona ,Republican,David Schweikert,1,Facebook,repdavidschweikert,,9/19/2022
House,Arizona ,Republican,David Schweikert,1,Facebook,SchweikertForAZ,,9/19/2022
House,Arizona ,Republican,David Schweikert,1,YouTube,,https://www.youtube.com/user/RepDavidSchweikert,9/19/2022
House,Arizona ,Republican,David Schweikert,1,YouTube,,https://www.youtube.com/user/schweikert4congress,9/19/2022
House,Arizona ,Republican,David Schweikert,1,Instagram,repdavid,,9/19/2022
House,Arizona ,Republican,David Schweikert,1,Instagram,schweikert4az,,9/19/2022
House,Arizona ,Democrat,Jevin Hodge,1,YouTube,,https://www.youtube.com/channel/UCNesdauEeHLmGsO6girarJg,9/19/2022
House,Arizona ,Democrat,Jevin Hodge,1,Facebook,JevinHodgeAZ,,9/19/2022
House,Arizona ,Democrat,Ruben Gallego,3,Twitter,RepRubenGallego,2966570782,9/19/2022
House,Arizona ,Democrat,Ruben Gallego,3,Twitter,RubenGallego,49217025,9/19/2022
House,Arizona ,Democrat,Ruben Gallego,3,Facebook,RepRubenGallego,,9/19/2022
House,Arizona ,Democrat,Ruben Gallego,3,Facebook,GallegoforArizona,,9/19/2022
House,Arizona ,Democrat,Ruben Gallego,3,YouTube,,https://www.youtube.com/channel/UCru0REdL016INldtvq6gaLA,9/19/2022
House,Arizona ,Democrat,Ruben Gallego,3,Instagram,reprubengallego,,9/19/2022
House,Arizona ,Republican,Jeffrey Zink,3,Twitter,realJeffZink,3106053616,9/19/2022
House,Arizona ,Republican,Jeffrey Zink,3,YouTube,,https://www.youtube.com/channel/UCxG-u_0NbB7uoSPdM75vvWQ,9/19/2022
House,Arizona ,Republican,Jeffrey Zink,3,Instagram,realjeffzink,,9/19/2022
House,Arizona ,Republican,Jeffrey Zink,3,Facebook,realJeffZink,,9/19/2022
House,Arizona ,Republican,Andy Biggs,5,Twitter,RepAndyBiggsAZ,816652616625168384,9/19/2022
House,Arizona ,Republican,Andy Biggs,5,Twitter,andybiggs4az,702601370344402944,9/19/2022
House,Arizona ,Republican,Andy Biggs,5,Facebook,RepAndyBiggs,,9/19/2022
House,Arizona ,Republican,Andy Biggs,5,Facebook,biggsforcongress,,9/19/2022
House,Arizona ,Republican,Andy Biggs,5,YouTube,,https://www.youtube.com/channel/UCqSq9kWOxk9yNTeILBCVC1w,9/19/2022
House,Arizona ,Republican,Andy Biggs,5,YouTube,,https://www.youtube.com/channel/UCqtulpp-D8muHOF-Cj8wqXA,9/19/2022
House,Arizona ,Republican,Andy Biggs,5,Instagram,repandybiggs,,9/19/2022
House,Arizona ,Republican,Andy Biggs,5,Instagram,andybiggsaz,,9/19/2022
House,Arizona ,Democrat,Javier Garsia Ramos,5,Twitter,RamosAZ5,1236122354285072384,9/19/2022
House,Arizona ,Democrat,Javier Garsia Ramos,5,Instagram,ramosazcd5,,9/19/2022
House,Arizona ,Independent,Clint Smith,5,Twitter,SmithforAZ,1492223898380750848,9/19/2022
House,Arizona ,Independent,Clint Smith,5,Instagram,SmithForAZ,,9/19/2022
House,Arizona ,Independent,Clint Smith,5,Facebook,SmithforAZ,,9/19/2022
House,Arizona ,Republican,Paul Gosar,9,Twitter,RepGosar,240760644,9/19/2022
House,Arizona ,Republican,Paul Gosar,9,Twitter,DrPaulGosar,872148729184362496,9/19/2022
House,Arizona ,Republican,Paul Gosar,9,Facebook,repgosar,,9/19/2022
House,Arizona ,Republican,Paul Gosar,9,Facebook,DrPaulGosar,,9/19/2022
House,Arizona ,Republican,Paul Gosar,9,YouTube,,https://www.youtube.com/user/repgosar,9/19/2022
House,Arizona ,Republican,Paul Gosar,9,Instagram,rep.paulgosar,,9/19/2022
House,Arizona ,Democrat,Raul Grijalva,7,Twitter,repraulgrijalva,28602948,9/19/2022
House,Arizona ,Democrat,Raul Grijalva,7,Twitter,standwithraul,135623073,9/19/2022
House,Arizona ,Democrat,Raul Grijalva,7,Facebook,Rep.Grijalva,,9/19/2022
House,Arizona ,Democrat,Raul Grijalva,7,Facebook,peopleforgrijalva,,9/19/2022
House,Arizona ,Democrat,Raul Grijalva,7,YouTube,,https://www.youtube.com/user/raulgrijalvaaz07,9/19/2022
House,Arizona ,Democrat,Raul Grijalva,7,YouTube,,https://www.youtube.com/user/PeopleForGrijalva,9/19/2022
House,Arizona ,Democrat,Raul Grijalva,7,Instagram,repraulgrijalva,,9/19/2022
House,Arizona ,Democrat,Raul Grijalva,7,Instagram,standwithraul,,9/19/2022
House,Arizona ,Republican,Luis Pozzolo,7,Twitter,Luis4congress,1445489540748042240,9/19/2022
House,Arizona ,Republican,Luis Pozzolo,7,Facebook,Luis4Congress,,9/19/2022
House,Arizona ,Democrat,Tom O'Halleran,2,Twitter,repohalleran,808416682972770304,9/19/2022
House,Arizona ,Democrat,Tom O'Halleran,2,Twitter,TomOHalleran,2573587962,9/19/2022
House,Arizona ,Democrat,Tom O'Halleran,2,Facebook,repohalleran,,9/19/2022
House,Arizona ,Democrat,Tom O'Halleran,2,Facebook,ohalleranforaz,,9/19/2022
House,Arizona ,Democrat,Tom O'Halleran,2,YouTube,,https://www.youtube.com/c/repohalleran,9/19/2022
House,Arizona ,Democrat,Tom O'Halleran,2,YouTube,,https://www.youtube.com/channel/UCKvf2KoJ7NEdy-i-Ovuk_Bg,9/19/2022
House,Arizona ,Democrat,Tom O'Halleran,2,Instagram,RepOHalleran,,9/19/2022
House,Arizona ,Democrat,Tom O'Halleran,2,Instagram,ohalleranforaz,,9/19/2022
House,Arizona ,Republican,Eli Crane,2,Twitter,EliCraneAZ,1415011405544177664,9/19/2022
House,Arizona ,Republican,Eli Crane,2,Facebook,EliCraneAZ,,9/19/2022
House,Arizona ,Republican,Eli Crane,2,Instagram,elicraneaz,,9/19/2022
House,Arizona ,Republican,Eli Crane,2,YouTube,,https://www.youtube.com/channel/UC0I0haSL6aA3trWtp7x-OXw,9/19/2022
House,Arizona ,Democrat,Greg Stanton,4,Twitter,repgregstanton,1080885078425784320,9/19/2022
House,Arizona ,Democrat,Greg Stanton,4,Twitter,gregstantonaz,218292287,9/19/2022
House,Arizona ,Democrat,Greg Stanton,4,Facebook,repgregstanton,,9/20/2022
House,Arizona ,Democrat,Greg Stanton,4,Facebook,stantonforarizona,,9/20/2022
House,Arizona ,Democrat,Greg Stanton,4,YouTube,,https://www.youtube.com/c/repgregstanton,9/20/2022
House,Arizona ,Democrat,Greg Stanton,4,YouTube,,https://www.youtube.com/channel/UCtGjSua87wS62o2oim11vHA,9/20/2022
House,Arizona ,Democrat,Greg Stanton,4,Instagram,repgregstanton,,9/20/2022
House,Arizona ,Democrat,Greg Stanton,4,Instagram,gregstantonaz,,9/20/2022
House,Arizona ,Republican,Kelly Cooper,4,Twitter,KellyCooperAZ,1433165953429393408,9/20/2022
House,Arizona ,Republican,Kelly Cooper,4,Facebook,KellyCooperAZ,,9/20/2022
House,Arizona ,Republican,Kelly Cooper,4,Instagram,kellycooper.az,,9/20/2022
House,Arizona ,Republican,Kelly Cooper,4,YouTube,,https://www.youtube.com/channel/UCjV0jWuXWMfq_nuvE_mOQvQ,9/20/2022
Senate,Arkansas,Republican,John Boozman,,Twitter,JohnBoozman,5558312,9/20/2022
Senate,Arkansas,Republican,John Boozman,,Twitter,Boozman4AR,111671288,9/20/2022
Senate,Arkansas,Republican,John Boozman,,Facebook,JohnBoozman,,9/20/2022
Senate,Arkansas,Republican,John Boozman,,Facebook,BoozmanforArkansas,,9/20/2022
Senate,Arkansas,Republican,John Boozman,,YouTube,,https://www.youtube.com/user/BoozmanPressOffice,9/20/2022
Senate,Arkansas,Republican,John Boozman,,YouTube,,https://www.youtube.com/channel/UCHMa7lWXDnBm0v5duuOUNoQ,9/20/2022
Senate,Arkansas,Republican,John Boozman,,Instagram,johnboozman,,9/20/2022
Senate,Arkansas,Republican,John Boozman,,Instagram,boozman4ar,,9/20/2022
Senate,Arkansas,Democrat,Natalie James,,Twitter,Jamesforar,1397725068738826240,9/20/2022
Senate,Arkansas,Democrat,Natalie James,,Facebook,JamesForArkansas,,9/20/2022
Senate,Arkansas,Democrat,Natalie James,,Instagram,jamesforarkansas,,9/20/2022
House,Arkansas,Democrat,Quintessa Hathaway,2,Twitter,DrQHathaway,2234890814,9/20/2022
House,Arkansas,Democrat,Quintessa Hathaway,2,Instagram,drqhathaway,,9/20/2022
House,Arkansas,Republican,French Hill,2,Twitter,RepFrenchHill,2953974395,9/20/2022
House,Arkansas,Republican,French Hill,2,Twitter,ElectFrench,1740229652,9/20/2022
House,Arkansas,Republican,French Hill,2,Facebook,RepFrenchHill,,9/20/2022
House,Arkansas,Republican,French Hill,2,Facebook,electfrench,,9/20/2022
House,Arkansas,Republican,French Hill,2,YouTube,,https://www.youtube.com/channel/UCT8uWroJtkwSsCJlVg0IKvQ,9/20/2022
House,Arkansas,Republican,French Hill,2,YouTube,,https://www.youtube.com/channel/UCWHLIIYZ4muc0nt14dOK_UA,9/20/2022
House,Arkansas,Republican,French Hill,2,Instagram,repfrenchhill,,9/20/2022
House,Arkansas,Republican,French Hill,2,Instagram,electfrench,,9/20/2022
House,Arkansas,Libertarian,Michael White,2,Twitter,MW4Liberty,1495789061797203968,9/20/2022
House,Arkansas,Libertarian,Michael White,2,Facebook,MW4Liberty,,9/20/2022
House,Arkansas,Democrat,Monte Hodges,1,Twitter,MonteforAR,1478463836525146112,9/20/2022
House,Arkansas,Republican,Rick Crawford,1,Twitter,RepRickCrawford,233693291,9/20/2022
House,Arkansas,Republican,Rick Crawford,1,Twitter,Crawford4Cong,50918998,9/20/2022
House,Arkansas,Republican,Rick Crawford,1,YouTube,,https://www.youtube.com/user/RepRickCrawford,9/20/2022
House,Arkansas,Republican,Rick Crawford,1,Instagram,reprickcrawford,,9/20/2022
House,Arkansas,Republican,Rick Crawford,1,Instagram,crawfordforcongress,,9/20/2022
House,Arkansas,Democrat,Lauren Mallett-Hays,3,Twitter,Lauren4Arkansas,1394328556570882048,9/20/2022
House,Arkansas,Democrat,Lauren Mallett-Hays,3,Facebook,lauren4arkansas,,9/20/2022
House,Arkansas,Democrat,Lauren Mallett-Hays,3,Instagram,lauren4arkansas,,9/20/2022
House,Arkansas,Democrat,Lauren Mallett-Hays,3,YouTube,,https://www.youtube.com/channel/UCCXzTrX9_h60mCTfDQWlQXw,9/20/2022
House,Arkansas,Republican,Steve Womack,3,Twitter,rep_stevewomack,234469322,9/20/2022
House,Arkansas,Republican,Steve Womack,3,Twitter,womack4congress,112651673,9/20/2022
House,Arkansas,Republican,Steve Womack,3,Facebook,womackforcongress,,9/20/2022
House,Arkansas,Republican,Steve Womack,3,YouTube,,https://www.youtube.com/user/CongressmanWomack,9/20/2022
House,Arkansas,Republican,Steve Womack,3,YouTube,,https://www.youtube.com/channel/UC9eCdnlzTc8Kvmrkynix1bg,9/20/2022
House,Arkansas,Republican,Steve Womack,3,Instagram,rep_stevewomack,,9/20/2022
House,Arkansas,Libertarian,Michael Kalagias,3,Twitter,KalagiasforUS,2393019260,9/20/2022
House,Arkansas,Republican,Bruce Westerman,4,Twitter,RepWesterman,2852998461,9/20/2022
House,Arkansas,Republican,Bruce Westerman,4,Twitter,WestermanAR,1592481150,9/20/2022
House,Arkansas,Republican,Bruce Westerman,4,Facebook,RepWesterman,,9/20/2022
House,Arkansas,Republican,Bruce Westerman,4,Facebook,WestermanAR,,9/20/2022
House,Arkansas,Republican,Bruce Westerman,4,YouTube,,https://www.youtube.com/channel/UCNshPbmupCwP5a7Hi79jETQ,9/20/2022
House,Arkansas,Republican,Bruce Westerman,4,YouTube,,https://www.youtube.com/user/WestermanAR,9/20/2022
House,Arkansas,Republican,Bruce Westerman,4,Instagram,repwesterman,,9/20/2022
House,Arkansas,Republican,Bruce Westerman,4,Instagram,westermanar,,9/20/2022
House,Arkansas,Libertarian,Gregory Maxwell,4,Twitter,GregoryMaxwell,40039456,9/20/2022
House,Arkansas,Libertarian,Gregory Maxwell,4,Facebook,MaxwellforCongress,,9/20/2022
Senate,California,Democrat,Alex Padilla,,Twitter,SenAlexPadilla,1351236267707654144,9/20/2022
Senate,California,Democrat,Alex Padilla,,Facebook,SenAlexPadilla,,9/20/2022
Senate,California,Democrat,Alex Padilla,,Instagram,senalexpadilla,,9/20/2022
Senate,California,Democrat,Alex Padilla,,YouTube,,https://www.youtube.com/channel/UC8iDXwFo62EvFaNIrQln0vA,9/20/2022
Senate,California,Democrat,Alex Padilla,,YouTube,,https://www.youtube.com/c/AlexPadillaforUSSenate,9/20/2022
Senate,California,Republican,Mark Meuser,,Twitter,markmeuser,545030277,9/20/2022
Senate,California,Republican,Mark Meuser,,Facebook,markpmeuser,,9/20/2022
Senate,California,Republican,Mark Meuser,,Instagram,markmeuser,,9/20/2022
House,California,Democrat,Brad Sherman,32,Twitter,BradSherman,30216513,9/20/2022
House,California,Democrat,Brad Sherman,32,Twitter,BradSherman4SFV,494291143,9/20/2022
House,California,Democrat,Brad Sherman,32,Facebook,CongressmanBradSherman,,9/20/2022
House,California,Democrat,Brad Sherman,32,Facebook,BradShermanForCongress,,9/20/2022
House,California,Democrat,Brad Sherman,32,YouTube,,https://www.youtube.com/user/ShermanCA27,9/20/2022
House,California,Democrat,Brad Sherman,32,YouTube,,https://www.youtube.com/channel/UCrbJi4Qemb8i8rK_M5dqZaQ,9/20/2022
House,California,Democrat,Brad Sherman,32,Instagram,congressmansherman,,9/20/2022
House,California,Republican,Lucie Lapointe Volotzky,32,Facebook,voteforlucie,,9/20/2022
House,California,Republican,Lucie Lapointe Volotzky,32,Instagram,voteforlucie,,9/20/2022
House,California,Democrat,Pete Aguilar,33,Twitter,RepPeteAguilar,3018670151,9/20/2022
House,California,Democrat,Pete Aguilar,33,Twitter,PeteAguilar,768489333393272832,9/20/2022
House,California,Democrat,Pete Aguilar,33,Facebook,reppeteaguilar,,9/20/2022
House,California,Democrat,Pete Aguilar,33,Facebook,PeteAguilarforCongress,,9/20/2022
House,California,Democrat,Pete Aguilar,33,YouTube,,https://www.youtube.com/channel/UCxwbFLOlKDsXrwizV5jah7g,9/20/2022
House,California,Democrat,Pete Aguilar,33,Instagram,rep.peteaguilar,,9/20/2022
House,California,Democrat,Pete Aguilar,33,Instagram,aguilarpete,,9/20/2022
House,California,Democrat,Adam Gray,13,Twitter,AdamGrayCA,2426056399,9/20/2022
House,California,Democrat,Adam Gray,13,Facebook,AdamGrayAD21,,9/20/2022
House,California,Democrat,Adam Gray,13,Facebook,AdamGrayAD21,,9/20/2022
House,California,Democrat,Adam Gray,13,Instagram,caadamgray,,9/20/2022
House,California,Democrat,Mike Barkley,5,Twitter,mjbarkl,229020620,9/20/2022
House,California,Democrat,Mike Barkley,5,Facebook,mjbarkl,,9/20/2022
House,California,Republican,Tom McClintock,5,Twitter,RepMcClintock,50152441,9/20/2022
House,California,Republican,Tom McClintock,5,Twitter,tommcclintock,15773898,9/20/2022
House,California,Republican,Tom McClintock,5,Facebook,RepMcClintock,,9/20/2022
House,California,Republican,Tom McClintock,5,Facebook,jointom,,9/20/2022
House,California,Republican,Tom McClintock,5,YouTube,,https://www.youtube.com/user/McClintockCA04,9/20/2022
House,California,Republican,Tom McClintock,5,YouTube,,https://www.youtube.com/user/votemcclintock,9/20/2022
House,California,Republican,Tom McClintock,5,Instagram,repmcclintock,,9/20/2022
House,California,Democrat,Nanette Barragan,44,Twitter,RepBarragan,816833925456789504,9/20/2022
House,California,Democrat,Nanette Barragan,44,Twitter,Nanette4CA,303633791,9/20/2022
House,California,Democrat,Nanette Barragan,44,Facebook,CongresswomanBarragan,,9/20/2022
House,California,Democrat,Nanette Barragan,44,Facebook,nanettebarraganforcongress,,9/20/2022
House,California,Democrat,Nanette Barragan,44,YouTube,,https://www.youtube.com/channel/UC7pIAtcJoXFH8i_yodrholA,9/20/2022
House,California,Democrat,Nanette Barragan,44,YouTube,,https://www.youtube.com/channel/UCMWOf8DBK8xsqyf9PsVRqIA,9/20/2022
House,California,Democrat,Nanette Barragan,44,Instagram,repbarragan,,9/20/2022
House,California,Democrat,Nanette Barragan,44,Instagram,nanettebarragan,,9/20/2022
House,California,Republican,Paul Irving Jones,44,Twitter,Congress2020J,809134474243903488,9/20/2022
House,California,Democrat,David Canepa,15,Twitter,davidcanepa,813998038314164224,9/20/2022
House,California,Democrat,David Canepa,15,Facebook,DavidCanepaCA,,9/20/2022
House,California,Democrat,David Canepa,15,Instagram,davidcanepa,,9/20/2022
House,California,Democrat,Kevin Mullin,15,Twitter,kevinmullin,18973663,9/20/2022
House,California,Democrat,Kevin Mullin,15,Facebook,AssemblymemberKevinMullin,,9/20/2022
House,California,Democrat,Kevin Mullin,15,Facebook,kevinmullinforcongress,,9/20/2022
House,California,Democrat,Kevin Mullin,15,YouTube,,https://www.youtube.com/channel/UC_Cr3iUK7B_C0KI9_2V_JlA,9/20/2022
House,California,Democrat,Robert Garcia,42,Twitter,RobertGarcia,18120497,9/20/2022
House,California,Democrat,Robert Garcia,42,Facebook,robertgarcialb,,9/20/2022
House,California,Democrat,Robert Garcia,42,Instagram,robertgarcialb,,9/20/2022
House,California,Democrat,Robert Garcia,42,YouTube,,https://www.youtube.com/channel/UCKziM4QP3dG_CppESdHL5QA,9/20/2022
House,California,Republican,John Briscoe,42,Twitter,johnfbriscoe,139770510,9/20/2022
House,California,Democrat,Ami Bera,6,Twitter,RepBera,950783972,9/20/2022
House,California,Democrat,Ami Bera,6,Twitter,BeraForCongress,43986986,9/20/2022
House,California,Democrat,Ami Bera,6,Facebook,RepAmiBera,,9/20/2022
House,California,Democrat,Ami Bera,6,Facebook,BeraForCongress,,9/20/2022
House,California,Democrat,Ami Bera,6,YouTube,,https://www.youtube.com/user/repamibera,9/20/2022
House,California,Democrat,Ami Bera,6,YouTube,,https://www.youtube.com/BeraForCongress,9/20/2022
House,California,Democrat,Ami Bera,6,Instagram,repbera,,9/20/2022
House,California,Republican,Tamika Hamilton,6,Twitter,TamikaGHamilton,1105326466588323840,9/20/2022
House,California,Republican,Tamika Hamilton,6,Facebook,TamikaforCongress,,9/20/2022
House,California,Republican,Tamika Hamilton,6,Instagram,tamikaforcongress,,9/20/2022
House,California,Republican,Tamika Hamilton,6,YouTube,,https://www.youtube.com/channel/UCkcBpEvSSQr3cV15lLseB0A,9/20/2022
House,California,Democrat,Julia Brownley,26,Twitter,RepBrownley,1243902714,9/20/2022
House,California,Democrat,Julia Brownley,26,Twitter,JuliaBrownley,44251742,9/20/2022
House,California,Democrat,Julia Brownley,26,Facebook,RepBrownley,,9/20/2022
House,California,Democrat,Julia Brownley,26,Facebook,juliabrownley,,9/20/2022
House,California,Democrat,Julia Brownley,26,YouTube,,https://www.youtube.com/RepBrownley,9/20/2022
House,California,Democrat,Julia Brownley,26,Instagram,juliabrownley,,9/20/2022
House,California,Democrat,Julia Brownley,26,Instagram,RepBrownley,,9/20/2022
House,California,Republican,Matt Jacobs,26,Twitter,mattjacobsca,1183132214680150016,9/20/2022
House,California,Republican,Matt Jacobs,26,Facebook,MattJacobsCA,,9/20/2022
House,California,Republican,Matt Jacobs,26,Instagram,mattjacobsca,,9/20/2022
House,California,Republican,Matt Jacobs,26,YouTube,,https://www.youtube.com/c/MattJacobsCA,9/20/2022
House,California,Democrat,Nancy Pelosi,11,Twitter,SpeakerPelosi,15764644,9/20/2022
House,California,Democrat,Nancy Pelosi,11,Twitter,TeamPelosi,2461810448,9/20/2022
House,California,Democrat,Nancy Pelosi,11,Facebook,NancyPelosi,,9/20/2022
House,California,Democrat,Nancy Pelosi,11,Facebook,pelosiforcongress,,9/20/2022
House,California,Democrat,Nancy Pelosi,11,Instagram,speakerpelosi,,9/20/2022
House,California,Democrat,Nancy Pelosi,11,Instagram,team_pelosi,,9/20/2022
House,California,Democrat,Nancy Pelosi,11,YouTube,,https://www.youtube.com/user/nancypelosi,9/20/2022
House,California,Democrat,Nancy Pelosi,11,YouTube,,https://www.youtube.com/channel/UCIZ02_5SSkVfnLwMbFe01IA,9/20/2022
House,California,Republican,John Dennis,11,Twitter,RealJohnDennis,44774107,9/20/2022
House,California,Republican,John Dennis,11,Instagram,realjohndennis,,9/20/2022
House,California,Democrat,Salud Carbajal,24,Twitter,RepCarbajal,816157667882373120,9/20/2022
House,California,Democrat,Salud Carbajal,24,Twitter,carbajalsalud,3237898542,9/20/2022
House,California,Democrat,Salud Carbajal,24,Facebook,repsaludcarbajal,,9/20/2022
House,California,Democrat,Salud Carbajal,24,Facebook,CarbajalForCongress,,9/20/2022
House,California,Democrat,Salud Carbajal,24,Instagram,repcarbajal,,9/20/2022
House,California,Democrat,Salud Carbajal,24,Instagram,saludcarbajal,,9/20/2022
House,California,Democrat,Tony Cardenas,29,Twitter,RepCardenas,1222257180,9/20/2022
House,California,Democrat,Tony Cardenas,29,Twitter,Tcardenas,2543742324,9/20/2022
House,California,Democrat,Tony Cardenas,29,Facebook,CongressmanCardenas,,9/20/2022
House,California,Democrat,Tony Cardenas,29,Facebook,TonyCardenasForCongress,,9/20/2022
House,California,Democrat,Tony Cardenas,29,Instagram,repcardenas,,9/20/2022
House,California,Democrat,Tony Cardenas,29,Instagram,tonycardenasca,,9/20/2022
House,California,Democrat,Tony Cardenas,29,YouTube,,https://www.youtube.com/user/repcardenas,9/20/2022
House,California,Democrat,Tony Cardenas,29,YouTube,,https://www.youtube.com/channel/UCEugISTym1lX1vQSnu9L0AA,9/20/2022
